Entity | communicatesWith | Entity
Report | createdBy | Entity
Report | hasReportedVictim | Entity
Report | involvesAccount | Account
Report | involvesMessage | Message
Report | involvesTransaction | Transaction
Entity | isCounterpartyIn | Transaction
Entity | locatedIn | Location
Entity | manages | Account
Organization | offersService | Service
Organization | operatesInLocation | Location
Account | ownedBy | Entity
Entity | partOf | Organization
Entity | provides | Action
Exchange | receiver | Entity
Entity | receivesFundFrom | Transaction
Message | refersToEntity | Entity
Entity | requests | Action
Exchange | sender | Entity
Organization | usesTechnology | Technology
Transaction | denominatedIn | string
Account | hasBalance | double
Transaction | hasPurpose | string
Person | hasRole | string
Transaction | involvesAmount | double
Message | messageHasContent | string
Message | messageSubject | string
Account | openedOn | dateTime
Message | providesLink | string
Exchange | timestamp | dateTimeStamp
Entity | website | string
